Lesotho,LSO,2376328637.26
Late-demographic dividend,LTE,22983532467508.60
Lithuania,LTU,54627411860.47
Luxembourg,LUX,71104919108.14
Latvia,LVA,34102913582.42
"Macao SAR, China",MAC,53859116535.53
St. Martin (French part),MAF,
Morocco,MAR,119700325461.94
Monaco,MCO,
Moldova,MDA,11968713370.50
Madagascar,MDG,14114631280.68
Maldives,MDV,5642179170.46
Middle East & North Africa,MEA,3649607782728.21
Mexico,MEX,1268870527160.03
Marshall Islands,MHL,
Middle income,MIC,32153305760637.50
North Macedonia,MKD,12547040498.91
Mali,MLI,17279566718.61
Malta,MLT,14989415684.12
Myanmar,MMR,76085852617.14
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,5542577964.98
Mongolia,MNG,13996719329.41
Northern Mariana Islands,MNP,
Mozambique,MOZ,15291448211.60
Mauritania,MRT,7600656943.98
Mauritius,MUS,14048430518.56
Malawi,MWI,7666704427.01
Malaysia,MYS,364681367531.68
North America,NAC,23177135742520.00
Namibia,NAM,12366528259.18
New Caledonia,NCL,
Niger,NER,12911689659.35
Nigeria,NGA,448120428858.77
Nicaragua,NIC,12520915291.18
Netherlands,NLD,907050863145.10
Norway,NOR,403336363636.36
Nepal,NPL,30641380603.97
Nauru,NRU,118223430.12
New Zealand,NZL,206928765543.94
OECD members,OED,53699374881339.80
Oman,OMN,76331518668.58
Other small states,OSS,432092892349.40
Pakistan,PAK,278221906022.84
Panama,PAN,66800800000.00
Peru,PER,226848050819.53
Philippines,PHL,376795508678.85
Palau,PLW,268354919.43
Papua New Guinea,PNG,24829107011.07
Poland,POL,595858207011.51
Pre-demographic dividend,PRE,1403794376560.53
Puerto Rico,PRI,104988600000.00
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,238785085030.99
Paraguay,PRY,38145288939.85
West Bank and Gaza,PSE,
Pacific island small states,PSS,10634784072.62
Post-demographic dividend,PST,50769917916181.50
French Polynesia,PYF,
Qatar,QAT,175837550996.19
Romania,ROU,250077444017.08
Russian Federation,RUS,1699876578871.35
Rwanda,RWA,10354417725.16
South Asia,SAS,3591836570466.89
Saudi Arabia,SAU,792966838161.66
Sudan,SDN,30513456084.80
Senegal,SEN,23578084052.01
Singapore,SGP,372062527488.64
Solomon Islands,SLB,1589913622.24
Sierra Leone,SLE,4121733705.29
El Salvador,SLV,27022640000.00
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,51475016532.13
Sub-Saharan Africa (excluding high income),SSA,1751180043654.43
South Sudan,SSD,
Sub-Saharan Africa,SSF,1766941400078.09
Small states,SST,520457174770.63
Sao Tome and Principe,STP,418637388.99
Suriname,SUR,3697371949.58
Slovak Republic,SVK,105079673009.73
Slovenia,SVN,54174227308.89
Sweden,SWE,530883869004.98
Eswatini,SWZ,4471598726.64
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1703387387.32
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1197415000.00
Chad,TCD,11314951342.78
East Asia & Pacific (IDA & IBRD countries),TEA,17181893729969.40
Europe & Central Asia (IDA & IBRD countries),TEC,4155157371202.28
Togo,TGO,5490272413.39
Thailand,THA,543548969968.69
Tajikistan,TJK,8116626794.26
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5487957496814.37
Timor-Leste,TLS,2017924900.00
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,512350059.42
South Asia (IDA & IBRD),TSA,3591836570466.89
Sub-Saharan Africa (IDA & IBRD countries),TSS,1766941400078.09
Trinidad and Tobago,TTO,24269714809.91
Tunisia,TUN,38796687568.16
Turkey,TUR,761425499358.16
Tuvalu,TUV,47271463.33
Tanzania,TZA,63177068174.55
Uganda,UGA,35165157016.91
Ukraine,UKR,153781069118.15
Upper middle income,UMC,25807761543981.80
Uruguay,URY,56045912952.97
United States,USA,21433226000000.00
Uzbekistan,UZB,57921286440.35
St. Vincent and the Grenadines,VCT,824718518.52
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,261921244843.17
Vanuatu,VUT,934239973.81
World,WLD,87798525859220.90
Samoa,WSM,852250190.99
Kosovo,XKX,7926133713.61
"Yemen, Rep.",YEM,22581081993.95
South Africa,ZAF,351431649241.44
Zambia,ZMB,23309773922.76
Zimbabwe,ZWE,21440758800.00
